IE,NS,FT,PJ,Type,IEAn,NSAn,FTAn,PJAn,AnsweredType
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,P,ISFP,E,S,F,P,ESFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,T,P,ESTP,E,S,T,P,ESTP
E,N,T,J,ENTJ,E,N,T,J,ENTJ
E,N,T,J,ENTJ,E,N,T,J,ENTJ
E,N,F,P,ENFP,E,N,F,P,ENFP
I,S,T,P,ISTP,E,S,T,P,ESTP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,N,T,P,INTP
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,T,P,ISTP,I,S,T,P,ISTP
I,N,T,J,INTJ,I,N,T,J,INTJ
I,N,F,J,INFJ,E,N,F,J,ENFJ
I,N,F,P,INFP,I,N,F,P,INFP
E,N,F,P,ENFP,E,N,F,P,ENFP
I,N,F,P,INFP,I,N,F,P,INFP
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,N,F,J,INFJ,E,N,F,P,ENFP
I,N,F,J,INFJ,I,N,F,J,INFJ
I,S,T,J,ISTJ,I,N,T,J,INTJ
I,S,F,J,ISFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,N,T,J,ENTJ,E,N,T,J,ENTJ
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,T,J,ISTJ,I,S,T,P,ISTP
I,N,F,J,INFJ,I,N,F,J,INFJ
I,S,T,P,ISTP,I,S,T,J,ISTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,N,T,P,INTP,I,N,T,P,INTP
E,S,F,J,ESFJ,E,N,F,J,ENFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,N,F,J,INFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,P,ISFP,I,S,F,J,ISFJ
E,N,F,P,ENFP,E,N,F,P,ENFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,T,P,ESTP,E,N,F,P,ENFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,T,J,ESTJ,E,S,T,P,ESTP
I,N,F,P,INFP,I,N,F,P,INFP
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,J,ESTJ,E,S,T,P,ESTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,T,P,ISTP,I,S,F,P,ISFP
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,T,J,ESTJ,E,S,F,J,ESFJ
I,N,T,J,INTJ,I,N,T,J,INTJ
I,S,F,J,ISFJ,I,S,T,J,ISTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,N,F,P,INFP,I,N,F,P,INFP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,N,T,J,INTJ,E,N,T,J,ENTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,N,F,J,INFJ,I,N,F,P,INFP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,F,J,ESFJ,E,N,F,P,ENFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,T,P,ISTP,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,N,F,P,ENFP,E,N,F,P,ENFP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,P,ESFP,E,S,F,J,ESFJ
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,N,T,P,ENTP,E,N,F,J,ENFJ
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,J,ESTJ,I,S,T,J,ISTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,N,F,P,ENFP,E,S,F,P,ESFP
E,S,T,P,ESTP,E,S,T,P,ESTP
I,N,F,J,INFJ,I,N,F,J,INFJ
I,N,F,P,INFP,I,N,F,P,INFP
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,T,P,ESTP,I,S,T,P,ISTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,P,ESTP,I,S,T,P,ISTP
I,S,T,P,ISTP,I,S,F,P,ISFP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,T,J,ESTJ
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,N,F,P,ENFP,E,N,F,P,ENFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,T,P,ESTP,I,N,T,P,INTP
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,N,T,P,ENTP,I,N,T,P,INTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,J,ESFJ,E,N,F,J,ENFJ
E,N,T,P,ENTP,I,N,T,P,INTP
E,S,T,J,ESTJ,E,N,T,J,ENTJ
E,S,F,P,ESFP,I,S,F,P,ISFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,N,T,P,ENTP,E,N,T,P,ENTP
E,N,F,P,ENFP,E,N,F,P,ENFP
E,S,T,J,ESTJ,E,N,T,P,ENTP
I,S,F,J,ISFJ,E,S,F,J,ESFJ
E,N,T,J,ENTJ,E,N,T,J,ENTJ
E,N,T,P,ENTP,I,N,T,P,INTP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,P,ISFP,I,N,F,P,INFP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,N,T,J,INTJ,I,N,T,J,INTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,N,T,J,ENTJ,E,N,T,J,ENTJ
E,N,F,P,ENFP,E,N,F,P,ENFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,T,J,ISTJ,I,N,T,J,INTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,P,ESFP,E,S,F,P,ESFP
E,N,F,J,ENFJ,E,N,F,P,ENFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,N,T,J,INTJ,I,N,T,J,INTJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
E,N,T,P,ENTP,E,N,T,P,ENTP
I,N,F,J,INFJ,I,N,F,J,INFJ
I,S,F,J,ISFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,P,ESTP,E,S,T,P,ESTP
I,N,F,J,INFJ,I,N,F,J,INFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,J,ESTJ,E,S,T,P,ESTP
I,S,F,J,ISFJ,I,N,F,J,INFJ
I,S,F,J,ISFJ,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,T,P,ESTP,I,S,T,P,ISTP
E,N,T,P,ENTP,E,N,T,P,ENTP
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,J,ESFJ,E,N,F,J,ENFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,J,ESFJ,E,S,T,J,ESTJ
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,T,P,ISTP,E,S,T,P,ESTP
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,P,ISFP,I,S,T,P,ISTP
E,N,F,J,ENFJ,E,N,F,J,ENFJ
E,N,F,P,ENFP,E,N,F,P,ENFP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,T,J,ESTJ,I,S,T,J,ISTJ
E,N,T,J,ENTJ,E,N,T,P,ENTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,N,F,J,INFJ,I,N,F,J,INFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,P,ESTP,E,S,F,P,ESFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,N,T,J,INTJ,I,N,F,P,INFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,N,F,P,INFP,I,N,F,P,INFP
I,N,T,P,INTP,E,N,T,J,ENTJ
I,S,F,J,ISFJ,I,S,T,P,ISTP
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,P,ESTP,E,S,T,P,ESTP
E,N,F,J,ENFJ,E,N,F,P,ENFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,N,T,J,INTJ,I,N,T,J,INTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,T,J,ISTJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,F,P,ESFP,E,S,T,P,ESTP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,N,T,P,INTP,I,N,T,P,INTP
E,N,F,J,ENFJ,E,S,F,J,ESFJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,N,T,J,INTJ,I,S,T,J,ISTJ
I,N,T,P,INTP,I,N,T,P,INTP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,N,F,P,ENFP,E,N,F,P,ENFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,N,F,J,INFJ,I,N,F,J,INFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,P,ESFP,E,S,F,P,ESFP
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,N,T,J,ENTJ,E,N,T,J,ENTJ
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,F,P,ISFP,I,N,F,P,INFP
E,S,F,J,ESFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,T,P,ISTP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,T,J,ISTJ,E,S,F,J,ESFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,N,T,J,INTJ,I,N,T,J,INTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,F,J,ISFJ,E,S,F,J,ESFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,J,ESTJ,E,S,T,P,ESTP
I,N,T,P,INTP,I,N,T,P,INTP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,J,ESFJ,E,S,T,J,ESTJ
E,S,T,P,ESTP,E,S,T,J,ESTJ
E,N,T,P,ENTP,E,N,T,P,ENTP
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,N,T,J,INTJ,I,N,T,J,INTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,S,F,P,ISFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
I,N,T,P,INTP,I,N,T,P,INTP
I,S,T,J,ISTJ,I,S,F,J,ISFJ
E,S,F,P,ESFP,E,S,T,P,ESTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,N,F,J,INFJ
I,N,F,P,INFP,I,N,T,P,INTP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,P,ESTP,E,S,F,P,ESFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,N,T,P,ENTP,E,N,T,P,ENTP
E,N,T,J,ENTJ,E,N,T,J,ENTJ
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,I,S,F,J,ISFJ
I,N,F,P,INFP,I,S,F,P,ISFP
E,N,T,P,ENTP,E,N,T,P,ENTP
E,N,F,P,ENFP,E,S,F,P,ESFP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,T,J,ISTJ,I,N,T,J,INTJ
E,S,T,P,ESTP,E,S,T,J,ESTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,N,F,P,INFP,I,N,F,J,INFJ
E,S,T,P,ESTP,E,S,T,P,ESTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
E,N,F,P,ENFP,E,N,F,P,ENFP
E,N,F,P,ENFP,E,N,F,P,ENFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,T,J,ESTJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,T,J,ISTJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,E,S,F,J,ESFJ
E,N,F,P,ENFP,E,N,F,J,ENFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,J,ESFJ,I,S,F,J,ISFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,N,F,P,ENFP,E,N,F,P,ENFP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,F,P,ESFP,E,S,T,P,ESTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,N,T,P,INTP,I,N,F,P,INFP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,P,ESFP,E,S,T,P,ESTP
I,S,F,P,ISFP,I,N,F,P,INFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,N,T,P,ENTP,E,N,T,P,ENTP
E,N,F,J,ENFJ,E,N,F,P,ENFP
E,S,T,P,ESTP,I,S,T,P,ISTP
I,S,F,J,ISFJ,I,S,F,P,ISFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,N,T,J,INTJ,I,N,F,J,INFJ
E,S,T,J,ESTJ,I,S,T,J,ISTJ
E,S,F,P,ESFP,E,S,T,P,ESTP
E,S,F,P,ESFP,E,S,T,P,ESTP
E,N,T,J,ENTJ,I,N,T,J,INTJ
E,N,T,J,ENTJ,E,N,T,J,ENTJ
E,S,T,J,ESTJ,E,N,T,J,ENTJ
E,N,F,P,ENFP,E,N,F,P,ENFP
E,N,F,P,ENFP,E,N,F,P,ENFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,T,P,ESTP,I,S,T,P,ISTP
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,T,J,ESTJ,E,N,T,J,ENTJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,T,J,ESTJ,E,S,T,P,ESTP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,T,P,ISTP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,N,T,P,INTP,I,N,F,P,INFP
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,F,J,ISFJ,I,S,T,J,ISTJ
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,F,J,ISFJ,I,S,T,J,ISTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,P,ISFP,I,S,T,P,ISTP
E,S,F,J,ESFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,T,P,ISTP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,T,P,ISTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,P,ESFP,I,S,F,P,ISFP
I,S,F,P,ISFP,I,S,F,P,ISFP
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
E,S,F,J,ESFJ,E,N,F,J,ENFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,N,T,P,INTP,I,N,F,P,INFP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
E,S,F,J,ESFJ,I,S,F,J,ISFJ
I,N,F,J,INFJ,E,N,F,J,ENFJ
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,T,P,ISTP,I,S,T,P,ISTP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,T,J,ESTJ,E,N,T,J,ENTJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,N,F,J,INFJ,I,N,F,J,INFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
E,N,F,J,ENFJ,E,N,F,J,ENFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,F,P,ESFP,E,S,F,J,ESFJ
E,N,T,J,ENTJ,E,N,T,J,ENTJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
E,N,T,J,ENTJ,E,N,T,J,ENTJ
E,S,T,J,ESTJ,E,N,T,J,ENTJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,N,T,J,ENTJ,E,N,T,J,ENTJ
I,N,F,P,INFP,E,N,F,P,ENFP
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,P,ISFP,I,S,F,J,ISFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
I,S,T,P,ISTP,E,S,T,P,ESTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,F,P,ISFP,I,S,F,P,ISFP
I,N,F,P,INFP,I,N,F,P,INFP
I,S,F,P,ISFP,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,N,F,J,INFJ,I,N,F,J,INFJ
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,T,P,ESTP,E,S,T,P,ESTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
I,S,T,P,ISTP,I,S,T,P,ISTP
E,S,F,J,ESFJ,E,S,F,J,ESFJ
E,S,T,J,ESTJ,E,S,T,J,ESTJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,N,F,P,ENFP,E,N,F,P,ENFP
I,N,F,J,INFJ,I,N,F,J,INFJ
I,S,T,J,ISTJ,I,S,T,J,ISTJ
E,N,F,P,ENFP,E,N,F,P,ENFP
I,S,F,P,ISFP,I,S,F,P,ISFP
E,S,T,J,ESTJ,E,S,T,J,ESTJ
E,S,F,P,ESFP,E,S,F,P,ESFP
I,N,F,P,INFP,I,N,F,P,INFP
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,P,ESFP,E,S,F,P,ESFP
E,S,F,P,ESFP,E,S,F,P,ESFP
I,S,F,J,ISFJ,I,N,F,J,INFJ
I,S,F,J,ISFJ,I,N,F,J,INFJ
E,N,T,P,ENTP,E,N,T,P,ENTP
E,S,F,J,ESFJ,E,S,T,J,ESTJ
E,N,F,J,ENFJ,E,N,F,J,ENFJ
I,S,F,J,ISFJ,I,S,F,J,ISFJ
